00:00:16.927 [scheduling-1] INFO  c.f.s.DailyScheduled - [morningCheck,24] - 开始进行晨检......
08:32:50.199 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
08:32:50.878 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
08:32:50.994 [main] INFO  c.f.u.SendUtilTest - [logStarted,61] - Started SendUtilTest in 5.307 seconds (JVM running for 7.116)
08:32:53.815 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
08:32:53.817 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
08:33:44.915 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
08:33:44.933 [main] INFO  c.f.u.SendUtilTest - [logStarting,55] - Starting SendUtilTest on DESKTOP-KSVGB5Q with PID 16476 (started by Dakuang in E:\fuckwzxy)
08:33:44.936 [main] INFO  c.f.u.SendUtilTest - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
08:33:48.342 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
08:33:48.884 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
08:33:48.994 [main] INFO  c.f.u.SendUtilTest - [logStarted,61] - Started SendUtilTest in 4.715 seconds (JVM running for 6.422)
08:33:51.722 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
08:33:51.725 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
08:34:13.417 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
08:34:13.423 [main] INFO  c.f.u.SendUtilTest - [logStarting,55] - Starting SendUtilTest on DESKTOP-KSVGB5Q with PID 7060 (started by Dakuang in E:\fuckwzxy)
08:34:13.426 [main] INFO  c.f.u.SendUtilTest - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
08:34:16.778 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
08:34:17.401 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
08:34:17.515 [main] INFO  c.f.u.SendUtilTest - [logStarted,61] - Started SendUtilTest in 4.823 seconds (JVM running for 6.636)
08:34:20.094 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
08:34:20.096 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
08:36:06.041 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
08:36:06.065 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStarting,55] - Starting CheckServiceImplTest on DESKTOP-KSVGB5Q with PID 15656 (started by Dakuang in E:\fuckwzxy)
08:36:06.068 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
08:36:09.424 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
08:36:10.047 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
08:36:10.161 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStarted,61] - Started CheckServiceImplTest in 4.831 seconds (JVM running for 6.603)
08:36:10.614 [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
08:36:11.157 [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
08:36:13.423 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
08:36:13.425 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
08:36:13.426 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
08:36:13.438 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
08:38:41.767 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
08:38:41.797 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStarting,55] - Starting CheckServiceImplTest on DESKTOP-KSVGB5Q with PID 15028 (started by Dakuang in E:\fuckwzxy)
08:38:41.799 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
08:38:45.094 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
